ticker,p_yes,y
KXBTC15M-26JAN172030-30,0.6600245237350464,1
KXBTC15M-26JAN172045-45,0.3540546596050262,0
KXBTC15M-26JAN172100-00,0.4008906483650207,0
KXBTC15M-26JAN172115-15,0.6211494207382202,1
KXBTC15M-26JAN172130-30,0.6962267756462097,1
KXBTC15M-26JAN172145-45,0.1411011517047882,0
KXBTC15M-26JAN172200-00,0.599247932434082,1
KXBTC15M-26JAN172215-15,0.6693457961082458,1
KXBTC15M-26JAN172230-30,0.350838840007782,1
KXBTC15M-26JAN172245-45,0.8419318199157715,1
KXBTC15M-26JAN172300-00,0.4999341964721679,1
KXBTC15M-26JAN172315-15,0.4336604475975036,0
KXBTC15M-26JAN172330-30,0.4018740355968475,0
KXBTC15M-26JAN172345-45,0.1725038141012191,0
KXBTC15M-26JAN180015-15,0.230521872639656,0
KXBTC15M-26JAN180245-45,0.1592398583889007,0
KXBTC15M-26JAN180300-00,0.7730254530906677,1
KXBTC15M-26JAN180315-15,0.3433193266391754,1
KXBTC15M-26JAN180330-30,0.6078919768333435,1
KXBTC15M-26JAN180345-45,0.5777894854545593,1
KXBTC15M-26JAN180400-00,0.5833170413970947,1
KXBTC15M-26JAN180415-15,0.52023845911026,0
KXBTC15M-26JAN180430-30,0.802352249622345,1
KXBTC15M-26JAN180445-45,0.7551705837249756,1
KXBTC15M-26JAN180500-00,0.8338519334793091,1
KXBTC15M-26JAN180515-15,0.0986630246043205,0
KXBTC15M-26JAN180530-30,0.2898626923561096,0
KXBTC15M-26JAN180545-45,0.5497381091117859,1
KXBTC15M-26JAN180600-00,0.4056462049484253,1
KXBTC15M-26JAN180615-15,0.1368553191423416,0
KXBTC15M-26JAN180630-30,0.316910445690155,0
KXBTC15M-26JAN180645-45,0.2613928020000458,1
KXBTC15M-26JAN180700-00,0.8310852646827698,1
KXBTC15M-26JAN180715-15,0.3597900569438934,0
KXBTC15M-26JAN180730-30,0.4481249153614044,1
KXBTC15M-26JAN180745-45,0.3610354959964752,1
