ticker,p_yes,y
KXBTC15M-26JAN172030-30,0.6609452962875366,1
KXBTC15M-26JAN172045-45,0.4169694483280182,0
KXBTC15M-26JAN172100-00,0.4263089001178741,0
KXBTC15M-26JAN172115-15,0.799755334854126,1
KXBTC15M-26JAN172130-30,0.6809994578361511,1
KXBTC15M-26JAN172145-45,0.1943564116954803,0
KXBTC15M-26JAN172200-00,0.760168194770813,1
KXBTC15M-26JAN172215-15,0.7494891881942749,1
KXBTC15M-26JAN172230-30,0.6842207908630371,1
KXBTC15M-26JAN172245-45,0.6652719378471375,1
KXBTC15M-26JAN172300-00,0.6688768267631531,1
KXBTC15M-26JAN172315-15,0.3081720471382141,0
KXBTC15M-26JAN172330-30,0.3190414011478424,0
KXBTC15M-26JAN172345-45,0.1886758953332901,0
KXBTC15M-26JAN180015-15,0.2715030610561371,0
KXBTC15M-26JAN180245-45,0.2113156467676162,0
KXBTC15M-26JAN180300-00,0.6330952048301697,1
KXBTC15M-26JAN180315-15,0.3574895858764648,1
KXBTC15M-26JAN180330-30,0.448341965675354,1
KXBTC15M-26JAN180345-45,0.563790500164032,1
KXBTC15M-26JAN180400-00,0.6000078916549683,1
KXBTC15M-26JAN180415-15,0.5059336423873901,0
KXBTC15M-26JAN180430-30,0.6280225515365601,1
KXBTC15M-26JAN180445-45,0.7459189295768738,1
KXBTC15M-26JAN180500-00,0.6834540367126465,1
KXBTC15M-26JAN180515-15,0.1759373396635055,0
KXBTC15M-26JAN180530-30,0.3097428977489471,0
KXBTC15M-26JAN180545-45,0.6681855320930481,1
KXBTC15M-26JAN180600-00,0.429844319820404,1
KXBTC15M-26JAN180615-15,0.169017806649208,0
KXBTC15M-26JAN180630-30,0.4438744187355041,0
KXBTC15M-26JAN180645-45,0.2862869501113891,1
KXBTC15M-26JAN180700-00,0.7110610008239746,1
KXBTC15M-26JAN180715-15,0.4357965588569641,0
KXBTC15M-26JAN180730-30,0.2560993134975433,1
KXBTC15M-26JAN180745-45,0.279874324798584,1
KXBTC15M-26JAN180800-00,0.27222341299057,0
KXBTC15M-26JAN180815-15,0.5358120203018188,0
